title,soldprice,solddate,link
Michael Jordan 1986 Fleer Rookie Card (RP) Very Nice Collection Card 🔥🔥📈,14.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Rookie-Card-RP-Very-Nice-Collection-Card/265028050668?hash=item3db4e71eec:g:zu0AAOSw2vpfoHsk
1996 Fleer Michael Jordan - Decade of Excellence PSA 10 GEM MT 1986 Rookie RC,1275.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-Fleer-Michael-Jordan-Decade-of-Excellence-PSA-10-GEM-MT-1986-Rookie-RC/383961953855?hash=item5965ea763f:g:nv8AAOSwZH5gLaNd
"1994 1995 Fleer SEALED Jumbo BOX (24 Packs) Grant Hill ROOKIE RC, Jordan PSA 10?",201.27,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1994-1995-Fleer-SEALED-Jumbo-BOX-24-Packs-Grant-Hill-ROOKIE-RC-Jordan-PSA-10/324482737748?hash=item4b8cada654:g:gVUAAOSwwV1f-pIX
MICHAEL JORDAN '86 Fleer ROOKIE Feel The Game NBA 23K Signature GOLD Card GEM 10,14.95,"Sold  Feb 21, 2021",https://www.ebay.com/itm/MICHAEL-JORDAN-86-Fleer-ROOKIE-Feel-The-Game-NBA-23K-Signature-GOLD-Card-GEM-10/313088820600?hash=item48e58c4578:g:3zgAAOSwc65exYSm
New ListingMichael Jordan 1986 Fleer Rookie Card Sticker Insert BCCG 9,4324.1,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Rookie-Card-Sticker-Insert-BCCG-9/124584862881?hash=item1d01d624a1:g:pCgAAOSwnL1gKKLi
"MICHAEL JORDAN 1986 FLEER WCG GEM-MT 10 ""23 KARAT GOLD"" ROOKIE CARD!!!  ",19.95,"Sold  Feb 20, 2021",https://www.ebay.com/itm/MICHAEL-JORDAN-1986-FLEER-WCG-GEM-MT-10-23-KARAT-GOLD-ROOKIE-CARD/373312133657?hash=item56eb231a19:g:G4wAAOSwep1eJaRb
"Michael Jordan ""1986 Fleer Sticker Rookie"" #8 Basketball Card🔥SUPER HOT CARD🔥",140.5,"Sold  Feb 20, 2021",https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Sticker-Rookie-8-Basketball-Card-SUPER-HOT-CARD/393142984505?hash=item5b8925df39:g:e~gAAOSwfYNgIcwV
michael jordan rookie card fleer 1986 Rp? *read Description*,203.5,"Sold  Feb 20, 2021",https://www.ebay.com/itm/michael-jordan-rookie-card-fleer-1986-Rp-read-Description/284188552373?hash=item422af52cb5:g:Q5MAAOSwzUpgLg6l
Michael Jordan 1986 Fleer Rookie Card (RP) Collection Card Must Have,7.99,"Sold  Feb 20, 2021",https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Rookie-Card-RP-Collection-Card-Must-Have/174637318914?hash=item28a9320302:g:xsIAAOSwEelgKJWh
1986 Fleer Michael Jordan Rookie (Please Read),52.0,"Sold  Feb 20, 2021",https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-Please-Read/224351652325?hash=item343c6689e5:g:prcAAOSw9PNgKK3j
1986 Fleer Michael Jordan Rookie Card RP#57 RC,56.0,"Sold  Feb 20, 2021",https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-Card-RP-57-RC/393132077107?hash=item5b887f7033:g:Z6EAAOSwc4xgKK2m
